2018-02-14T23:03:10.427+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62175 #9 (4 connections now open)
2018-02-14T23:03:10.427+0800 I NETWORK  [conn9] received client metadata from 127.0.0.1:62175 conn9: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:03:10.465+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62176 #10 (5 connections now open)
2018-02-14T23:03:10.466+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:62176 conn10: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:03:31.537+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62177 #11 (6 connections now open)
2018-02-14T23:03:31.538+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:62177 conn11: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:03:31.573+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62178 #12 (7 connections now open)
2018-02-14T23:03:31.573+0800 I NETWORK  [conn12] received client metadata from 127.0.0.1:62178 conn12: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:03:37.039+0800 I -        [conn11] end connection 127.0.0.1:62177 (7 connections now open)
2018-02-14T23:03:37.044+0800 I -        [conn12] end connection 127.0.0.1:62178 (6 connections now open)
2018-02-14T23:04:05.475+0800 I COMMAND  [conn7] CMD: drop gkapi.runoob
2018-02-14T23:04:15.571+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62182 #13 (6 connections now open)
2018-02-14T23:04:15.571+0800 I NETWORK  [conn13] received client metadata from 127.0.0.1:62182 conn13: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:04:15.607+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62183 #14 (7 connections now open)
2018-02-14T23:04:15.608+0800 I NETWORK  [conn14] received client metadata from 127.0.0.1:62183 conn14: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:04:16.945+0800 I -        [conn9] end connection 127.0.0.1:62175 (7 connections now open)
2018-02-14T23:04:16.947+0800 I -        [conn10] end connection 127.0.0.1:62176 (6 connections now open)
2018-02-14T23:04:19.212+0800 I -        [conn13] end connection 127.0.0.1:62182 (5 connections now open)
2018-02-14T23:04:19.213+0800 I -        [conn14] end connection 127.0.0.1:62183 (4 connections now open)
2018-02-14T23:04:22.135+0800 I COMMAND  [conn7] CMD: drop gkapi.test
2018-02-14T23:05:33.501+0800 I -        [conn6] end connection 127.0.0.1:61957 (3 connections now open)
2018-02-14T23:05:34.682+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62192 #15 (3 connections now open)
2018-02-14T23:05:34.691+0800 I NETWORK  [conn15] received client metadata from 127.0.0.1:62192 conn15: { driver: { name: "nodejs", version: "3.0.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.3.0" }, platform: "Node.js v8.9.0, LE, mongodb-core: 3.0.2" }
2018-02-14T23:05:47.453+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62195 #16 (4 connections now open)
2018-02-14T23:05:47.454+0800 I NETWORK  [conn16] received client metadata from 127.0.0.1:62195 conn16: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:05:47.486+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62196 #17 (5 connections now open)
2018-02-14T23:05:47.486+0800 I NETWORK  [conn17] received client metadata from 127.0.0.1:62196 conn17: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:06:37.912+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62205 #18 (6 connections now open)
2018-02-14T23:06:37.912+0800 I NETWORK  [conn18] received client metadata from 127.0.0.1:62205 conn18: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:06:37.945+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62206 #19 (7 connections now open)
2018-02-14T23:06:37.945+0800 I NETWORK  [conn19] received client metadata from 127.0.0.1:62206 conn19: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:11:42.836+0800 I -        [conn15] end connection 127.0.0.1:62192 (7 connections now open)
2018-02-14T23:11:43.821+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62383 #20 (7 connections now open)
2018-02-14T23:11:43.827+0800 I NETWORK  [conn20] received client metadata from 127.0.0.1:62383 conn20: { driver: { name: "nodejs", version: "3.0.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.3.0" }, platform: "Node.js v8.9.0, LE, mongodb-core: 3.0.2" }
2018-02-14T23:12:20.641+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62405 #21 (8 connections now open)
2018-02-14T23:12:20.641+0800 I NETWORK  [conn21] received client metadata from 127.0.0.1:62405 conn21: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:12:20.674+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62406 #22 (9 connections now open)
2018-02-14T23:12:20.675+0800 I NETWORK  [conn22] received client metadata from 127.0.0.1:62406 conn22: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:12:22.095+0800 I -        [conn18] end connection 127.0.0.1:62205 (9 connections now open)
2018-02-14T23:12:22.096+0800 I -        [conn19] end connection 127.0.0.1:62206 (9 connections now open)
2018-02-14T23:16:00.222+0800 I -        [conn20] end connection 127.0.0.1:62383 (7 connections now open)
2018-02-14T23:16:01.185+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62537 #23 (7 connections now open)
2018-02-14T23:16:01.190+0800 I NETWORK  [conn23] received client metadata from 127.0.0.1:62537 conn23: { driver: { name: "nodejs", version: "3.0.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.3.0" }, platform: "Node.js v8.9.0, LE, mongodb-core: 3.0.2" }
2018-02-14T23:16:10.624+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62540 #24 (8 connections now open)
2018-02-14T23:16:10.624+0800 I NETWORK  [conn24] received client metadata from 127.0.0.1:62540 conn24: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:16:10.657+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62541 #25 (9 connections now open)
2018-02-14T23:16:10.657+0800 I NETWORK  [conn25] received client metadata from 127.0.0.1:62541 conn25: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
2018-02-14T23:16:12.107+0800 I -        [conn21] end connection 127.0.0.1:62405 (9 connections now open)
2018-02-14T23:16:12.108+0800 I -        [conn22] end connection 127.0.0.1:62406 (8 connections now open)
2018-02-14T23:16:12.787+0800 I -        [conn16] end connection 127.0.0.1:62195 (7 connections now open)
2018-02-14T23:16:12.789+0800 I -        [conn17] end connection 127.0.0.1:62196 (6 connections now open)
2018-02-14T23:16:26.295+0800 I -        [conn23] end connection 127.0.0.1:62537 (5 connections now open)
2018-02-14T23:16:27.212+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62545 #26 (5 connections now open)
2018-02-14T23:16:27.219+0800 I NETWORK  [conn26] received client metadata from 127.0.0.1:62545 conn26: { driver: { name: "nodejs", version: "3.0.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.3.0" }, platform: "Node.js v8.9.0, LE, mongodb-core: 3.0.2" }
2018-02-14T23:17:37.991+0800 I -        [conn26] end connection 127.0.0.1:62545 (5 connections now open)
2018-02-14T23:17:38.949+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62567 #27 (5 connections now open)
2018-02-14T23:17:38.953+0800 I NETWORK  [conn27] received client metadata from 127.0.0.1:62567 conn27: { driver: { name: "nodejs", version: "3.0.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.3.0" }, platform: "Node.js v8.9.0, LE, mongodb-core: 3.0.2" }
2018-02-14T23:25:54.013+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62612 #28 (6 connections now open)
2018-02-14T23:25:54.013+0800 I NETWORK  [conn28] received client metadata from 127.0.0.1:62612 conn28: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-8-g05b19c6" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.3.0" } }
